time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.68689e-07	1604.52	1.50499	6.00688
1	5.68689e-07	1.31259e-06	1604.52	1.50499	6.040391999999999
2	1.31259e-06	2.28568e-06	1604.52	1.50499	12466.765242
3	2.28568e-06	3.55858e-06	1.8128799999999998	1.50493	30976.939999999995
4	3.55858e-06	5.22366e-06	5037.421864	1.50492	24888.219999999994
5	5.22366e-06	7.40173e-06	6024.111999999999	1.50491	21139.04
6	7.40173e-06	1.02509e-05	4856.57	1.50491	21642.399999999998
7	1.02509e-05	1.39778e-05	4278.375	19.3922	22622.110000000004
8	1.39778e-05	1.8853e-05	4096.985	210.675	22240.220000000005
9	1.8853e-05	2.52303e-05	4116.695000000001	387.037	20308.14
10	2.52303e-05	3.35723e-05	4042.2799999999997	559.453	17803.500000000004
11	3.35723e-05	4.44845e-05	3868.794000000001	569.624	15587.069999999998
12	4.44845e-05	5.87587e-05	3678.0589999999993	584.515	13327.500000000002
13	5.87587e-05	7.74308e-05	3559.6760000000004	565.533	11200.12
14	7.74308e-05	0.000101856	3464.267999999999	591.097	8933.176
15	0.000101856	0.000133806	3343.1169999999997	734.991	6706.743999999999
16	0.000133806	0.0001756	3119.186	1020.41	4805.731000000001
17	0.0001756	0.00023027	2809.574	1421.28	3277.8990000000003
18	0.00023027	0.000301784	2416.352	1854.83	2307.2060000000006
19	0.000301784	0.000395331	1974.3540000000003	2190.62	1613.8240000000003
20	0.000395331	0.0005177	1530.5400000000002	2291.66	1129.436
21	0.0005177	0.00067777	1133.5793999999999	2110.56	819.1904999999998
22	0.00067777	0.000887158	823.2334000000001	1737.49	691.8537999999998
23	0.000887158	0.00116106	616.7590000000001	1319.64	676.8989999999998
24	0.00116106	0.00151934	516.3026	976.469	302.399
25	0.00151934	0.00198802	484.482	760.923	208.77399999999997
26	0.00198802	0.00260109	633.294	667.799	208.77399999999997
27	0.00260109	0.00340304	1031.3300000000002	690.809	208.77399999999997
28	0.00340304	0.00445207	639.0224799999999	690.809	208.77399999999997
29	0.00445207	0.00582431	50.5612	582.503	208.77399999999997
30	0.00582431	0.00761933	50.5612	582.503	208.77399999999997
31	0.00761933	inf	50.5612	582.503	208.774
