time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.36253e-08	7.514140000000001	11.6252	6.00688
1	7.36253e-08	1.69934e-07	7.514140000000001	11.6252	6.00688
2	1.69934e-07	2.95916e-07	7.514140000000001	11.6257	6.00688
3	2.95916e-07	4.60712e-07	7.514140000000001	11.6326	6.00688
4	4.60712e-07	6.76281e-07	7.514140000000001	11.6241	6.00688
5	6.76281e-07	9.58266e-07	7.514140000000001	513.625	6.0068709999999985
6	9.58266e-07	1.32713e-06	7.514140000000001	9161.31	6.140949999999999
7	1.32713e-06	1.80964e-06	23399.334241999997	25899.2	6.34207
8	1.80964e-06	2.44081e-06	47050.549999999996	28501.7	31157.40000000001
9	2.44081e-06	3.26644e-06	62704.299999999996	24454.4	30951.159999999996
10	3.26644e-06	4.34644e-06	62111.740000000005	23562.0	27121.099999999995
11	4.34644e-06	5.75919e-06	52680.850000000006	26622.6	22540.32
12	5.75919e-06	7.60721e-06	40323.89	31577.7	21121.199999999997
13	7.60721e-06	1.00246e-05	30654.56	35264.1	21642.399999999998
14	1.00246e-05	1.31868e-05	25409.76	35345.9	22562.980000000003
15	1.31868e-05	1.73232e-05	21935.749999999996	32198.4	22380.040000000005
16	1.73232e-05	2.2734e-05	19724.899999999998	28148.8	21047.579999999998
17	2.2734e-05	2.98119e-05	17755.920000000002	25421.4	18854.490000000005
18	2.98119e-05	3.90705e-05	15970.499999999996	25470.8	16567.8
19	3.90705e-05	5.11816e-05	14180.839999999998	30068.0	14449.409999999996
20	5.11816e-05	6.70241e-05	12301.329999999996	43819.8	12581.660000000002
21	6.70241e-05	8.77476e-05	10480.64	49148.3	10193.367999999999
22	8.77476e-05	0.000114856	8188.142999999998	5515.11	7903.995999999999
23	0.000114856	0.000150316	6151.182	680.322	5807.017000000001
24	0.000150316	0.000196702	4283.83	394.697	4131.562000000001
25	0.000196702	0.000257379	2997.2299999999996	476.311	2906.975
26	0.000257379	0.00033675	2055.438	722.479	2034.9780000000005
27	0.00033675	0.000440575	1402.2879999999998	3777.61	1415.2560000000003
28	0.000440575	0.000576388	852.9892999999997	3777.61	992.5419999999999
29	0.000576388	0.000754045	408.2422	279.601	735.2668999999997
30	0.000754045	0.000986437	330.63300000000004	279.601	676.8989999999998
31	0.000986437	inf	281.053	279.601	208.774
