"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"1","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",0,0,101.59375,203.1875,1572.16,0.795084469774069
"2","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",1,203.1875,352.634375,502.08125,1572.16,0.795084469774069
"3","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",2,502.08125,721.920625,941.76,5047.35,0.247654709897273
"4","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",3,941.76,1265.14875,1588.5375,2075.08,0.602386414017773
"5","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",4,1588.5375,2064.25,2539.9625,1807.14,0.691700698341025
"6","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",5,2539.9625,3239.7375,3939.5125,1691.12,0.739155116136052
"7","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",6,3939.5125,4968.90625,5998.3,1522.96,0.82077007931922
"8","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",7,5998.3,7512.55625,9026.8125,1469.59,0.850577371920059
"9","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",8,9026.8125,11254.34375,13481.875,1621.7,0.770796078189554
"10","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",9,13481.875,16758.5625,20035.25,1947.49,0.641851819521538
"11","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",10,20035.25,24855.3125,29675.375,2322.21,0.53828034501617
"12","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",11,29675.375,36765.875,43856.375,2594.23,0.481838541686743
"13","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",12,43856.375,54286.5625,64716.75,2556.81,0.48889045333834
"14","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",13,64716.75,80059.8125,95402.875,2105.76,0.593609908061697
"15","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",14,95402.875,117972.6875,140542.5,1520.92,0.821870972832233
"16","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",15,140542.5,173743.75,206945,1042.69,1.19882227699508
"17","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",16,206945,255783.75,304622.5,784.403,1.59356861205273
"18","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",17,304622.5,376466.25,448310,854.218,1.46332669178126
"19","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",18,448310,553993.125,659676.25,171.754,7.27785087974661
"20","AKA_IDN.b1","RM specialist","Amphiprion akallopisos","AKA","IDN","b1",19,659676.25,659676.25,Inf,171.754,7.27785087974661
"21","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",0,0,101.59375,203.1875,1571.51,0.795413328582064
"22","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",1,203.1875,352.634375,502.08125,1571.51,0.795413328582064
"23","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",2,502.08125,721.920625,941.76,5048.27,0.247609577142269
"24","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",3,941.76,1265.14875,1588.5375,2074.67,0.602505458699456
"25","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",4,1588.5375,2064.25,2539.9625,1807.18,0.69168538828451
"26","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",5,2539.9625,3239.7375,3939.5125,1690.99,0.739211940934009
"27","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",6,3939.5125,4968.90625,5998.3,1522.95,0.820775468662793
"28","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",7,5998.3,7512.55625,9026.8125,1469.51,0.850623677280182
"29","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",8,9026.8125,11254.34375,13481.875,1621.57,0.770857872308935
"30","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",9,13481.875,16758.5625,20035.25,1947.4,0.641881483002978
"31","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",10,20035.25,24855.3125,29675.375,2322.16,0.538291935094912
"32","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",11,29675.375,36765.875,43856.375,2594.25,0.481834827021297
"33","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",12,43856.375,54286.5625,64716.75,2556.91,0.488871332976131
"34","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",13,64716.75,80059.8125,95402.875,2105.94,0.593559170726611
"35","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",14,95402.875,117972.6875,140542.5,1521.06,0.821795326943053
"36","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",15,140542.5,173743.75,206945,1042.72,1.19878778579101
"37","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",16,206945,255783.75,304622.5,784.275,1.59382869529183
"38","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",17,304622.5,376466.25,448310,853.539,1.46449078483819
"39","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",18,448310,553993.125,659676.25,171.902,7.27158497283336
"40","AKA_IDN.b10","RM specialist","Amphiprion akallopisos","AKA","IDN","b10",19,659676.25,659676.25,Inf,171.902,7.27158497283336
"41","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",0,0,103.53875,207.0775,820.148,1.52411515970288
"42","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",1,207.0775,359.385625,511.69375,820.148,1.52411515970288
"43","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",2,511.69375,735.7425,959.79125,4923.19,0.253900418224769
"44","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",3,959.79125,1289.370625,1618.95,1838.71,0.679824442136063
"45","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",4,1618.95,2103.76875,2588.5875,1650.03,0.757561983721508
"46","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",5,2588.5875,3301.7625,4014.9375,1743.09,0.717117303179985
"47","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",6,4014.9375,5064.0375,6113.1375,1532.87,0.815463803192704
"48","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",7,6113.1375,7656.3875,9199.6375,1390.92,0.898685761941736
"49","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",8,9199.6375,11469.75625,13739.875,1529.6,0.817207112970711
"50","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",9,13739.875,17079.3125,20418.75,1860.31,0.67193102224898
"51","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",10,20418.75,25331.1875,30243.625,2236.24,0.558973992058098
"52","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",11,30243.625,37469.8125,44696,2520.53,0.495927443831258
"53","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",12,44696,55325.875,65955.75,2530.87,0.493901306665297
"54","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",13,65955.75,81592.5625,97229.375,2128.5,0.587268029128494
"55","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",14,97229.375,120231.5625,143233.75,1570.05,0.79615298875832
"56","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",15,143233.75,177070,210906.25,1056.28,1.18339834134888
"57","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",16,210906.25,260680.625,310455,713.29,1.75244290541014
"58","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",17,310455,383673.75,456892.5,598.796,2.08752229473811
"59","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",18,456892.5,564599.375,672306.25,271.252,4.60826095291463
"60","AKA_IDN.b2","RM specialist","Amphiprion akallopisos","AKA","IDN","b2",19,672306.25,672306.25,Inf,271.252,4.60826095291463
"61","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",0,0,103.53875,207.0775,820.064,1.52427127638818
"62","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",1,207.0775,359.385625,511.69375,820.064,1.52427127638818
"63","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",2,511.69375,735.7425,959.79125,4923.29,0.253895261095731
"64","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",3,959.79125,1289.370625,1618.95,1838.52,0.679894697909188
"65","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",4,1618.95,2103.76875,2588.5875,1650.15,0.757506893312729
"66","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",5,2588.5875,3301.7625,4014.9375,1743.08,0.717121417261399
"67","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",6,4014.9375,5064.0375,6113.1375,1532.89,0.815453163632094
"68","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",7,6113.1375,7656.3875,9199.6375,1390.9,0.898698684305126
"69","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",8,9199.6375,11469.75625,13739.875,1529.6,0.817207112970711
"70","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",9,13739.875,17079.3125,20418.75,1860.32,0.671927410338006
"71","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",10,20418.75,25331.1875,30243.625,2236.23,0.558976491684666
"72","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",11,30243.625,37469.8125,44696,2520.54,0.495925476286827
"73","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",12,44696,55325.875,65955.75,2530.86,0.493903258181014
"74","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",13,65955.75,81592.5625,97229.375,2128.51,0.587265270071552
"75","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",14,97229.375,120231.5625,143233.75,1570.05,0.79615298875832
"76","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",15,143233.75,177070,210906.25,1056.28,1.18339834134888
"77","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",16,210906.25,260680.625,310455,713.291,1.75244044856868
"78","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",17,310455,383673.75,456892.5,598.796,2.08752229473811
"79","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",18,456892.5,564599.375,672306.25,271.252,4.60826095291463
"80","AKA_IDN.b3","RM specialist","Amphiprion akallopisos","AKA","IDN","b3",19,672306.25,672306.25,Inf,271.252,4.60826095291463
"81","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",0,0,100.99625,201.9925,1198.19,1.04324022066617
"82","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",1,201.9925,350.56,499.1275,1198.19,1.04324022066617
"83","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",2,499.1275,717.67375,936.22,5439.44,0.229803067962879
"84","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",3,936.22,1257.70375,1579.1875,2012.17,0.621219877048162
"85","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",4,1579.1875,2052.1,2525.0125,1687.24,0.74085488727152
"86","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",5,2525.0125,3220.675,3916.3375,1592.33,0.785013156820508
"87","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",6,3916.3375,4939.675,5963.0125,1532.05,0.815900264351686
"88","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",7,5963.0125,7468.3625,8973.7125,1520.45,0.822125028774376
