time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.8786e-07	13127.5
1	9.8786e-07	2.44102e-06	13127.5
2	2.44102e-06	4.57865e-06	21359.4
3	4.57865e-06	7.72316e-06	14074
4	7.72316e-06	1.23488e-05	9068.02
5	1.23488e-05	1.91532e-05	6617.22
6	1.91532e-05	2.91626e-05	5416.15
7	2.91626e-05	4.38866e-05	4439.16
8	4.38866e-05	6.5546e-05	3530.33
9	6.5546e-05	9.74073e-05	2869.55
10	9.74073e-05	0.000144276	2563.48
11	0.000144276	0.000213221	2528.63
12	0.000213221	0.00031464	2579.5
13	0.00031464	0.00046383	2490.57
14	0.00046383	0.000683292	2151.32
15	0.000683292	0.00100612	1756.15
16	0.00100612	0.00148102	1556.58
17	0.00148102	0.00217959	2358.29
18	0.00217959	0.00320722	51.9595
19	0.00320722	inf	51.9595
