time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.8995e-07	15755
1	6.8995e-07	1.70488e-06	15755
2	1.70488e-06	3.19786e-06	32384.2
3	3.19786e-06	5.39407e-06	20182.7
4	5.39407e-06	8.62474e-06	18669.8
5	8.62474e-06	1.33771e-05	14311.4
6	1.33771e-05	2.0368e-05	10083.9
7	2.0368e-05	3.06517e-05	7262.38
8	3.06517e-05	4.57792e-05	5638.74
9	4.57792e-05	6.80321e-05	4776.17
10	6.80321e-05	0.000100767	4347.33
11	0.000100767	0.00014892	4102.47
12	0.00014892	0.000219754	3797.87
13	0.000219754	0.000323952	3278.69
14	0.000323952	0.00047723	2635.8
15	0.00047723	0.000702706	1977.91
16	0.000702706	0.00103438	1327.87
17	0.00103438	0.00152229	753.733
18	0.00152229	0.00224001	627.245
19	0.00224001	inf	627.245
