time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.42523e-06	1651.96
1	1.42523e-06	3.52176e-06	1651.96
2	3.52176e-06	6.60581e-06	3005.69
3	6.60581e-06	1.11425e-05	2090.95
4	1.11425e-05	1.78161e-05	2554.86
5	1.78161e-05	2.76331e-05	1810.77
6	2.76331e-05	4.2074e-05	1177.88
7	4.2074e-05	6.3317e-05	983.701
8	6.3317e-05	9.45659e-05	1159.4
9	9.45659e-05	0.000140534	1515.47
10	0.000140534	0.000208153	1945.43
11	0.000208153	0.000307623	2364.83
12	0.000307623	0.000453944	2714.37
13	0.000453944	0.000669187	2904.8
14	0.000669187	0.000985813	2730.07
15	0.000985813	0.00145158	2034.03
16	0.00145158	0.00213672	1113.61
17	0.00213672	0.00314459	665.183
18	0.00314459	0.00462718	587.139
19	0.00462718	inf	587.139
