time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.0331e-06	49.2398
1	4.0331e-06	9.96589e-06	49.2398
2	9.96589e-06	1.86931e-05	943.583
3	1.86931e-05	3.15311e-05	680.281
4	3.15311e-05	5.0416e-05	735.635
5	5.0416e-05	7.81961e-05	664.986
6	7.81961e-05	0.000119061	546.364
7	0.000119061	0.000179174	450.95
8	0.000179174	0.000267602	465.428
9	0.000267602	0.000397682	539.528
10	0.000397682	0.000589031	654.258
11	0.000589031	0.00087051	773.028
12	0.00087051	0.00128457	855.681
13	0.00128457	0.00189366	858.292
14	0.00189366	0.00278965	807.181
15	0.00278965	0.00410767	816.146
16	0.00410767	0.0060465	912.139
17	0.0060465	0.00889856	1006.11
18	0.00889856	0.013094	171241
19	0.013094	inf	171241
