time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.92211e-06	130.03
1	3.92211e-06	9.69162e-06	130.03
2	9.69162e-06	1.81787e-05	1648.55
3	1.81787e-05	3.06633e-05	529.261
4	3.06633e-05	4.90285e-05	857.664
5	4.90285e-05	7.6044e-05	895.545
6	7.6044e-05	0.000115784	548.155
7	0.000115784	0.000174243	444.894
8	0.000174243	0.000260238	494.959
9	0.000260238	0.000386737	625.111
10	0.000386737	0.000572821	757.5
11	0.000572821	0.000846553	825.558
12	0.000846553	0.00124922	838.559
13	0.00124922	0.00184155	828.813
14	0.00184155	0.00271288	841.17
15	0.00271288	0.00399462	895.243
16	0.00399462	0.0058801	890.742
17	0.0058801	0.00865367	831.559
18	0.00865367	0.0127336	176282
19	0.0127336	inf	176282
