time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.86679e-06	1.09537
1	2.86679e-06	7.0839e-06	1.09537
2	7.0839e-06	1.32874e-05	480.798
3	1.32874e-05	2.24128e-05	353.12
4	2.24128e-05	3.58364e-05	402.087
5	3.58364e-05	5.55829e-05	454.243
6	5.55829e-05	8.46304e-05	643.146
7	8.46304e-05	0.00012736	626.989
8	0.00012736	0.000190216	481.218
9	0.000190216	0.000282678	443.468
10	0.000282678	0.000418692	574.933
11	0.000418692	0.000618772	866.063
12	0.000618772	0.000913093	1269.61
13	0.000913093	0.00134604	1655.43
14	0.00134604	0.00198293	1870.96
15	0.00198293	0.00291979	1936.23
16	0.00291979	0.00429794	1845.35
17	0.00429794	0.00632523	1610.67
18	0.00632523	0.00930741	1194.62
19	0.00930741	inf	1194.62
