time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.26415e-06	653.323
1	2.26415e-06	5.59475e-06	653.323
2	5.59475e-06	1.04941e-05	1598.14
3	1.04941e-05	1.77012e-05	1291.41
4	1.77012e-05	2.8303e-05	1549.75
5	2.8303e-05	4.38985e-05	1601.24
6	4.38985e-05	6.68398e-05	1429.82
7	6.68398e-05	0.000100587	1379.04
8	0.000100587	0.000150229	1382.07
9	0.000150229	0.000223255	1416.78
10	0.000223255	0.000330677	1491.23
11	0.000330677	0.000488696	1557.99
12	0.000488696	0.000721146	1575.94
13	0.000721146	0.00106309	1465.94
14	0.00106309	0.00156608	1144.32
15	0.00156608	0.00230601	820.976
16	0.00230601	0.00339445	708.104
17	0.00339445	0.00499557	774.418
18	0.00499557	0.00735085	589.961
19	0.00735085	inf	589.961
