time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.87912e-06	2580.49
1	1.87912e-06	4.64334e-06	2580.49
2	4.64334e-06	8.70958e-06	5195.49
3	8.70958e-06	1.46911e-05	3508.43
4	1.46911e-05	2.349e-05	3298.29
5	2.349e-05	3.64334e-05	2889.22
6	3.64334e-05	5.54734e-05	2354.33
7	5.54734e-05	8.34817e-05	2126.48
8	8.34817e-05	0.000124682	2104.87
9	0.000124682	0.000185289	2144.91
10	0.000185289	0.000274444	2140.28
11	0.000274444	0.000405592	2020.44
12	0.000405592	0.000598513	1735.59
13	0.000598513	0.000882304	1339.43
14	0.000882304	0.00129977	993.323
15	0.00129977	0.00191386	801.297
16	0.00191386	0.00281721	759.543
17	0.00281721	0.00414605	848.865
18	0.00414605	0.00610081	116.604
19	0.00610081	inf	116.604
