time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.97104e-06	25.2676
1	4.97104e-06	1.22836e-05	25.2676
2	1.22836e-05	2.30404e-05	183.003
3	2.30404e-05	3.8864e-05	371.351
4	3.8864e-05	6.21407e-05	343.441
5	6.21407e-05	9.63813e-05	320.444
6	9.63813e-05	0.00014675	418.247
7	0.00014675	0.000220843	392.628
8	0.000220843	0.000329836	440.792
9	0.000329836	0.000490167	483.663
10	0.000490167	0.000726016	468.529
11	0.000726016	0.00107296	450.316
12	0.00107296	0.00158331	498.278
13	0.00158331	0.00233406	875.942
14	0.00233406	0.00343841	1115.26
15	0.00343841	0.00506295	1132.39
16	0.00506295	0.00745268	1167.3
17	0.00745268	0.010968	1251
18	0.010968	0.0161391	138213
19	0.0161391	inf	138213
