time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62972e-06	230.525
1	1.62972e-06	4.02708e-06	230.525
2	4.02708e-06	7.55364e-06	1617.57
3	7.55364e-06	1.27413e-05	2083.67
4	1.27413e-05	2.03724e-05	2092.26
5	2.03724e-05	3.1598e-05	2330.75
6	3.1598e-05	4.8111e-05	2935.49
7	4.8111e-05	7.2402e-05	3352.49
8	7.2402e-05	0.000108134	3433.4
9	0.000108134	0.000160698	3271.16
10	0.000160698	0.00023802	2990.11
11	0.00023802	0.000351761	2591.86
12	0.000351761	0.000519078	2021.99
13	0.000519078	0.000765204	1361.54
14	0.000765204	0.00112726	864.417
15	0.00112726	0.00165985	662.076
16	0.00165985	0.00244331	752.212
17	0.00244331	0.00359579	1046.13
18	0.00359579	0.00529111	515.75
19	0.00529111	inf	515.75
