time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.1865e-06	393.702
1	1.1865e-06	2.93187e-06	393.702
2	2.93187e-06	5.49935e-06	2162.2
3	5.49935e-06	9.27616e-06	2826.97
4	9.27616e-06	1.48319e-05	2770.14
5	1.48319e-05	2.30046e-05	2204.48
6	2.30046e-05	3.50267e-05	2386.48
7	3.50267e-05	5.27115e-05	3117.81
8	5.27115e-05	7.87262e-05	3892
9	7.87262e-05	0.000116994	4363.65
10	0.000116994	0.000173288	4316.08
11	0.000173288	0.000256096	3722.58
12	0.000256096	0.000377909	2892.89
13	0.000377909	0.000557099	2163.63
14	0.000557099	0.000820691	1615.84
15	0.000820691	0.00120844	1213
16	0.00120844	0.00177883	941.802
17	0.00177883	0.00261788	842.362
18	0.00261788	0.00385214	415.62
19	0.00385214	inf	415.62
