time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.67491e-06	308.226
1	4.67491e-06	1.15518e-05	308.226
2	1.15518e-05	2.16678e-05	671.716
3	2.16678e-05	3.65487e-05	405.619
4	3.65487e-05	5.84389e-05	427.116
5	5.84389e-05	9.06397e-05	539.61
6	9.06397e-05	0.000138008	496.537
7	0.000138008	0.000207687	516.42
8	0.000207687	0.000310187	579.679
9	0.000310187	0.000460966	582.159
10	0.000460966	0.000682766	481.242
11	0.000682766	0.00100904	454.662
12	0.00100904	0.00148899	524.364
13	0.00148899	0.00219501	703.545
14	0.00219501	0.00323358	1158.24
15	0.00323358	0.00476134	1497.69
16	0.00476134	0.0070087	2043.62
17	0.0070087	0.0103146	218276
18	0.0103146	0.0151777	84.1196
19	0.0151777	inf	84.1196
