time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.7433e-06	418.638
1	2.7433e-06	6.77876e-06	418.638
2	6.77876e-06	1.2715e-05	1011.42
3	1.2715e-05	2.14473e-05	1131.96
4	2.14473e-05	3.42928e-05	1156.6
5	3.42928e-05	5.31887e-05	1082.74
6	5.31887e-05	8.09849e-05	981.718
7	8.09849e-05	0.000121874	983.025
8	0.000121874	0.000182022	1029.61
9	0.000182022	0.000270502	1113.98
10	0.000270502	0.000400657	1224.6
11	0.000400657	0.000592118	1315.16
12	0.000592118	0.000873761	1307.49
13	0.000873761	0.00128806	1107.22
14	0.00128806	0.00189751	835.798
15	0.00189751	0.00279402	761.569
16	0.00279402	0.00411281	903.251
17	0.00411281	0.00605277	843.96
18	0.00605277	0.00890649	564.016
19	0.00890649	inf	564.016
