time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.12534e-06	7208.41
1	2.12534e-06	5.25177e-06	7208.41
2	5.25177e-06	9.8508e-06	6075.21
3	9.8508e-06	1.66161e-05	2570.13
4	1.66161e-05	2.65679e-05	2087.04
5	2.65679e-05	4.12073e-05	1437.73
6	4.12073e-05	6.27422e-05	1108.42
7	6.27422e-05	9.44204e-05	1110.71
8	9.44204e-05	0.00014102	1389.14
9	0.00014102	0.000209568	1752.86
10	0.000209568	0.000310405	1960.14
11	0.000310405	0.000458737	1854.22
12	0.000458737	0.000676937	1494.22
13	0.000676937	0.000997913	1095.45
14	0.000997913	0.00147008	811.373
15	0.00147008	0.00216464	686.865
16	0.00216464	0.00318635	695.234
17	0.00318635	0.00468932	739.776
18	0.00468932	0.00690021	452.503
19	0.00690021	inf	452.503
