time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.6845e-06	2.94425
1	9.6845e-06	2.21304e-05	2.94425
2	2.21304e-05	3.8125e-05	5522.11
3	3.8125e-05	5.86803e-05	6028.01
4	5.86803e-05	8.50967e-05	5249.77
5	8.50967e-05	0.000119045	4552.47
6	0.000119045	0.000162674	4038.19
7	0.000162674	0.000218742	3509.7
8	0.000218742	0.000290798	2919.96
9	0.000290798	0.000383399	2325.8
10	0.000383399	0.000502404	1786.1
11	0.000502404	0.000655342	1366.53
12	0.000655342	0.000851888	1091.55
13	0.000851888	0.00110448	939.88
14	0.00110448	0.00142908	881.923
15	0.00142908	0.00184625	884.028
16	0.00184625	0.00238237	922.242
17	0.00238237	0.00307135	1061.71
18	0.00307135	0.00395678	51.5636
19	0.00395678	inf	51.5636
