time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.50915e-06	5599.77
1	1.50915e-06	3.72913e-06	5599.77
2	3.72913e-06	6.99477e-06	8066.81
3	6.99477e-06	1.17986e-05	3813.96
4	1.17986e-05	1.88651e-05	3052.06
5	1.88651e-05	2.92601e-05	2339.91
6	2.92601e-05	4.45514e-05	2303.73
7	4.45514e-05	6.70452e-05	2825.32
8	6.70452e-05	0.000100134	3611.62
9	0.000100134	0.000148808	4054.85
10	0.000148808	0.000220409	3624.23
11	0.000220409	0.000325736	2664.42
12	0.000325736	0.000480673	1804.63
13	0.000480673	0.000708589	1188.52
14	0.000708589	0.00104386	783.054
15	0.00104386	0.00153705	572.382
16	0.00153705	0.00226254	517.886
17	0.00226254	0.00332975	606.779
18	0.00332975	0.00489964	254.641
19	0.00489964	inf	254.641
