time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.57313e-07	22790.7
1	8.57313e-07	2.11844e-06	22790.7
2	2.11844e-06	3.97358e-06	20170.8
3	3.97358e-06	6.70253e-06	10025.1
4	6.70253e-06	1.07169e-05	8401.72
5	1.07169e-05	1.66221e-05	4810.61
6	1.66221e-05	2.53087e-05	2968.68
7	2.53087e-05	3.8087e-05	3223.71
8	3.8087e-05	5.6884e-05	4576.3
9	5.6884e-05	8.45349e-05	6143.16
10	8.45349e-05	0.00012521	6672.46
11	0.00012521	0.000185044	5577.09
12	0.000185044	0.00027306	3875.37
13	0.00027306	0.000402535	2546.14
14	0.000402535	0.000592994	1729.99
15	0.000592994	0.000873164	1294.52
16	0.000873164	0.0012853	1140.09
17	0.0012853	0.00189156	1359.49
18	0.00189156	0.00278338	246.737
19	0.00278338	inf	246.737
