time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.04574e-06	7153.35
1	2.04574e-06	5.05506e-06	7153.35
2	5.05506e-06	9.48184e-06	7914.87
3	9.48184e-06	1.59937e-05	3585.92
4	1.59937e-05	2.55728e-05	2948.34
5	2.55728e-05	3.96639e-05	2657.84
6	3.96639e-05	6.03922e-05	2379.48
7	6.03922e-05	9.08838e-05	2152.48
8	9.08838e-05	0.000135738	2036.4
9	0.000135738	0.000201719	1996.88
10	0.000201719	0.000298778	1956.52
11	0.000298778	0.000441555	1825.46
12	0.000441555	0.000651582	1556.84
13	0.000651582	0.000960536	1198.11
14	0.000960536	0.00141501	848.902
15	0.00141501	0.00208356	593.579
16	0.00208356	0.00306701	465.12
17	0.00306701	0.00451368	476.336
18	0.00451368	0.00664176	369.527
19	0.00664176	inf	369.527
