time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.34653e-06	87.6451
1	2.34653e-06	5.79831e-06	87.6451
2	5.79831e-06	1.0876e-05	998.476
3	1.0876e-05	1.83453e-05	733.534
4	1.83453e-05	2.93328e-05	1153.13
5	2.93328e-05	4.54957e-05	1239.12
6	4.54957e-05	6.92717e-05	989.43
7	6.92717e-05	0.000104247	814.204
8	0.000104247	0.000155695	873.157
9	0.000155695	0.000231378	1098.95
10	0.000231378	0.000342708	1342.27
11	0.000342708	0.000506477	1512.52
12	0.000506477	0.000747385	1565.54
13	0.000747385	0.00110176	1471.63
14	0.00110176	0.00162307	1288.41
15	0.00162307	0.00238991	1133.71
16	0.00238991	0.00351795	1067.16
17	0.00351795	0.00517733	1121.52
18	0.00517733	0.0076183	1625.7
19	0.0076183	inf	1625.7
