time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.08509e-06	11423.1
1	1.08509e-06	2.68128e-06	11423.1
2	2.68128e-06	5.02932e-06	22218.9
3	5.02932e-06	8.48332e-06	14405.4
4	8.48332e-06	1.35642e-05	14512.2
5	1.35642e-05	2.10384e-05	15468.3
6	2.10384e-05	3.20329e-05	13653.7
7	3.20329e-05	4.82062e-05	9937.12
8	4.82062e-05	7.19974e-05	6791.66
9	7.19974e-05	0.000106995	4782.62
10	0.000106995	0.000158477	3490.17
11	0.000158477	0.000234208	2550.5
12	0.000234208	0.000345609	1809.42
13	0.000345609	0.000509483	1266.48
14	0.000509483	0.000750546	953.096
15	0.000750546	0.00110515	846.47
16	0.00110515	0.00162679	904.949
17	0.00162679	0.00239412	1472.42
18	0.00239412	0.00352289	115.344
19	0.00352289	inf	115.344
