time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.02936e-06	191.543
1	5.02936e-06	1.24277e-05	191.543
2	1.24277e-05	2.33107e-05	507.544
3	2.33107e-05	3.93199e-05	428.452
4	3.93199e-05	6.28697e-05	415.055
5	6.28697e-05	9.75121e-05	551.45
6	9.75121e-05	0.000148472	713.631
7	0.000148472	0.000223434	867.457
8	0.000223434	0.000333706	872.328
9	0.000333706	0.000495917	783.199
10	0.000495917	0.000734534	713.489
11	0.000734534	0.00108554	641.201
12	0.00108554	0.00160189	518.294
13	0.00160189	0.00236144	407.091
14	0.00236144	0.00347875	398.375
15	0.00347875	0.00512235	563.794
16	0.00512235	0.00754011	722.692
17	0.00754011	0.0110967	810.889
18	0.0110967	0.0163285	1304.02
19	0.0163285	inf	1304.02
