time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.13678e-06	4921.31
1	2.13678e-06	5.28003e-06	4921.31
2	5.28003e-06	9.90381e-06	5015.57
3	9.90381e-06	1.67055e-05	3416.3
4	1.67055e-05	2.67109e-05	2735.04
5	2.67109e-05	4.14291e-05	2487.53
6	4.14291e-05	6.30798e-05	2459.22
7	6.30798e-05	9.49285e-05	2417.98
8	9.49285e-05	0.000141779	2230.01
9	0.000141779	0.000210696	1958.11
10	0.000210696	0.000312075	1727.17
11	0.000312075	0.000461205	1558.92
12	0.000461205	0.000680579	1397.15
13	0.000680579	0.00100328	1167.03
14	0.00100328	0.00147799	873.542
15	0.00147799	0.00217629	624.207
16	0.00217629	0.0032035	494.496
17	0.0032035	0.00471455	518.287
18	0.00471455	0.00693734	626.234
19	0.00693734	inf	626.234
