time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.51516e-06	172.406
1	2.51516e-06	6.215e-06	172.406
2	6.215e-06	1.16576e-05	1127.66
3	1.16576e-05	1.96637e-05	1046.07
4	1.96637e-05	3.14408e-05	1107.26
5	3.14408e-05	4.87652e-05	1128.62
6	4.87652e-05	7.42498e-05	1164.82
7	7.42498e-05	0.000111738	1391.14
8	0.000111738	0.000166884	1565.73
9	0.000166884	0.000248005	1619.28
10	0.000248005	0.000367336	1377.62
11	0.000367336	0.000542874	1155.33
12	0.000542874	0.000801095	1183.3
13	0.000801095	0.00118094	1377.35
14	0.00118094	0.00173971	1144.55
15	0.00173971	0.00256166	654.152
16	0.00256166	0.00377077	535.292
17	0.00377077	0.00554939	823.109
18	0.00554939	0.00816578	576.194
19	0.00816578	inf	576.194
