time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.24449e-06	2693.02
1	1.24449e-06	3.07515e-06	2693.02
2	3.07515e-06	5.7681e-06	6539.07
3	5.7681e-06	9.72948e-06	5133.74
4	9.72948e-06	1.55568e-05	5403.11
5	1.55568e-05	2.41288e-05	5621.91
6	2.41288e-05	3.67384e-05	5827.07
7	3.67384e-05	5.52875e-05	5573.5
8	5.52875e-05	8.25735e-05	4974.66
9	8.25735e-05	0.000122712	4238.27
10	0.000122712	0.000181756	3537.3
11	0.000181756	0.000268612	2936.13
12	0.000268612	0.000396378	2394.3
13	0.000396378	0.000584324	1849.1
14	0.000584324	0.000860797	1338.57
15	0.000860797	0.0012675	981.485
16	0.0012675	0.00186576	816.848
17	0.00186576	0.00274581	889.311
18	0.00274581	0.00404039	274.924
19	0.00404039	inf	274.924
