time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.72346e-06	6656.22
1	1.72346e-06	4.2587e-06	6656.22
2	4.2587e-06	7.98809e-06	6063.8
3	7.98809e-06	1.34741e-05	3827.8
4	1.34741e-05	2.15441e-05	3111.08
5	2.15441e-05	3.34153e-05	2779.5
6	3.34153e-05	5.08781e-05	2507.09
7	5.08781e-05	7.65662e-05	2237.64
8	7.65662e-05	0.000114354	2032.85
9	0.000114354	0.00016994	1926.59
10	0.00016994	0.000251709	1917.77
11	0.000251709	0.000371993	1953.37
12	0.000371993	0.000548933	1909.67
13	0.000548933	0.000809215	1653.88
14	0.000809215	0.0011921	1240.25
15	0.0011921	0.00175532	872.423
16	0.00175532	0.00258384	664.206
17	0.00258384	0.0038026	638.489
18	0.0038026	0.00559543	846.548
19	0.00559543	inf	846.548
