time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.16218e-06	7080.26
1	1.16218e-06	2.87178e-06	7080.26
2	2.87178e-06	5.38664e-06	12260.2
3	5.38664e-06	9.08604e-06	6624.29
4	9.08604e-06	1.45279e-05	6629.74
5	1.45279e-05	2.25331e-05	6723.33
6	2.25331e-05	3.43088e-05	6274.3
7	3.43088e-05	5.16312e-05	5660.29
8	5.16312e-05	7.71127e-05	5197.84
9	7.71127e-05	0.000114597	4743.15
10	0.000114597	0.000169736	4180.86
11	0.000169736	0.000250847	3485.91
12	0.000250847	0.000370164	2667.99
13	0.000370164	0.000545681	1860.07
14	0.000545681	0.00080387	1246.04
15	0.00080387	0.00118367	884.734
16	0.00118367	0.00174237	733.528
17	0.00174237	0.00256422	820.147
18	0.00256422	0.00377318	150.463
19	0.00377318	inf	150.463
