time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76978e-07	17.7432
1	1.76978e-07	4.37317e-07	17.7432
2	4.37317e-07	8.20281e-07	5471.54
3	8.20281e-07	1.38363e-06	75895.4
4	1.38363e-06	2.21232e-06	39554.5
5	2.21232e-06	3.43135e-06	33671.4
6	3.43135e-06	5.22457e-06	47734
7	5.22457e-06	7.86243e-06	68040.2
8	7.86243e-06	1.17428e-05	82040.9
9	1.17428e-05	1.74508e-05	61478.2
10	1.74508e-05	2.58475e-05	24734.3
11	2.58475e-05	3.81992e-05	10349.4
12	3.81992e-05	5.63688e-05	8014.12
13	5.63688e-05	8.30967e-05	14308.1
14	8.30967e-05	0.000122414	49164.1
15	0.000122414	0.00018025	17.7431
16	0.00018025	0.000265329	17.7482
17	0.000265329	0.000390482	5789
18	0.000390482	0.000574583	352.564
19	0.000574583	inf	352.564
