time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.50031e-07	12.559
1	2.50031e-07	6.17833e-07	12.559
2	6.17833e-07	1.15888e-06	5298.15
3	1.15888e-06	1.95476e-06	47725.8
4	1.95476e-06	3.12553e-06	49996.9
5	3.12553e-06	4.84775e-06	45188.6
6	4.84775e-06	7.38117e-06	40807.7
7	7.38117e-06	1.11079e-05	36466.8
8	1.11079e-05	1.659e-05	30763.2
9	1.659e-05	2.46542e-05	25415.1
10	2.46542e-05	3.65169e-05	23050.8
11	3.65169e-05	5.39671e-05	24590.9
12	5.39671e-05	7.96367e-05	28207.2
13	7.96367e-05	0.000117397	14518.4
14	0.000117397	0.000172944	2350.05
15	0.000172944	0.000254654	1046.52
16	0.000254654	0.000374851	1256.78
17	0.000374851	0.000551664	1403.42
18	0.000551664	0.00081176	670.525
19	0.00081176	inf	670.525
