"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"3","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",2,854.38625,1228.486875,1602.5875,1184.66,1.05515506558844
"4","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",3,1602.5875,2152.89375,2703.2,1688.4,0.740345889599621
"6","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",5,4322.2125,5513.025,6703.8375,527.26,2.37074688009711
"7","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",6,6703.8375,8455.5375,10207.2375,734.182,1.70257511080359
"8","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",7,10207.2375,12784.05625,15360.875,552.601,2.26202992756075
"9","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",8,15360.875,19151.375,22941.875,423.178,2.95383975537481
"10","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",9,22941.875,28517.8125,34093.75,451.378,2.76929757320915
"11","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",10,34093.75,42296,50498.25,563.302,2.21905833815609
"12","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",11,50498.25,62564,74629.75,752.589,1.66093312551738
"13","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",12,74629.75,92378.75,110127.75,1069.51,1.16875952539013
"14","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",13,110127.75,136237,162346.25,1810.49,0.690420825301438
"15","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",14,162346.25,200753.125,239160,3028.49,0.41274694649809
"16","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",15,239160,295657.5,352155,3326.95,0.375719502847954
"17","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",16,352155,435264.375,518373.75,1575.51,0.793393885154648
"18","CLK_IDN.1","Generalist","Amphiprion clarkii","CLK","IDN","1",17,518373.75,640628.75,762883.75,909.912,1.37375922067189
"23","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",2,837.7075,1204.50375,1571.3,2804.39,0.445729730886218
"24","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",3,1571.3,2110.8625,2650.425,1165.17,1.07280482676348
"25","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",4,2650.425,3444.13125,4237.8375,492.918,2.53591875322062
"26","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",5,4237.8375,5405.4,6572.9625,731.042,1.70988807756599
"27","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",6,6572.9625,8290.46875,10007.975,355.608,3.51510652178804
"28","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",7,10007.975,12534.4875,15061,481.935,2.5937107701246
"29","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",8,15061,18777.5,22494,453.951,2.75360115959652
"30","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",9,22494,27961.0625,33428.125,455.514,2.74415275930048
"31","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",10,33428.125,41470.3125,49512.5,593.224,2.10712985314148
"32","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",11,49512.5,61342.6875,73172.875,855.384,1.46133198656977
"33","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",12,73172.875,90575.375,107977.875,1229.15,1.0169629418704
"34","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",13,107977.875,133577.0625,159176.25,1719.45,0.726976649510018
"35","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",14,159176.25,196833.75,234491.25,2109.25,0.592627711271779
"36","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",15,234491.25,289885.625,345280,2128.62,0.587234922156139
"37","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",16,345280,426766.875,508253.75,1473.38,0.848389417529761
"38","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",17,508253.75,628122.5,747991.25,864.073,1.44663703182486
"39","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",18,747991.25,924320,1100648.75,930.417,1.34348362078509
"40","CLK_IDN.10","Generalist","Amphiprion clarkii","CLK","IDN","10",19,1100648.75,1100648.75,Inf,930.417,1.34348362078509
"43","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",2,806.81625,1160.083125,1513.35,2925.32,0.427303679597446
"44","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",3,1513.35,2033.01875,2552.6875,2078.77,0.601317125030667
