time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.58346e-06	2782.38
1	1.58346e-06	3.91277e-06	2782.38
2	3.91277e-06	7.33922e-06	5149.41
3	7.33922e-06	1.23796e-05	352.686
4	1.23796e-05	1.97941e-05	610.402
5	1.97941e-05	3.0701e-05	1457.63
6	3.0701e-05	4.67453e-05	1681.25
7	4.67453e-05	7.03468e-05	1324.51
8	7.03468e-05	0.000105065	1403.99
9	0.000105065	0.000156136	1748.96
10	0.000156136	0.000231263	2234.82
11	0.000231263	0.000341776	2677.97
12	0.000341776	0.000504344	2817.11
13	0.000504344	0.000743483	2225.95
14	0.000743483	0.00109526	1381.17
15	0.00109526	0.00161274	775.614
16	0.00161274	0.00237395	561.728
17	0.00237395	0.00349372	4613.12
18	0.00349372	0.00514092	1.98308
19	0.00514092	inf	1.98308
