time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.68503e-07	26525.3
1	7.68503e-07	1.89899e-06	26525.3
2	1.89899e-06	3.56195e-06	86124.9
3	3.56195e-06	6.00821e-06	30652
4	6.00821e-06	9.6067e-06	19937.4
5	9.6067e-06	1.49002e-05	13691.9
6	1.49002e-05	2.26869e-05	9665.06
7	2.26869e-05	3.41415e-05	6730.29
8	3.41415e-05	5.09913e-05	4773.52
9	5.09913e-05	7.57777e-05	3824.77
10	7.57777e-05	0.000112239	3344.18
11	0.000112239	0.000165875	2981.18
12	0.000165875	0.000244773	2728.82
13	0.000244773	0.000360835	2541.76
14	0.000360835	0.000531565	2301.21
15	0.000531565	0.000782711	1875.87
16	0.000782711	0.00115215	1360.81
17	0.00115215	0.00169561	1101.26
18	0.00169561	0.00249504	208.69
19	0.00249504	inf	208.69
