time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.65762e-07	21361.3
1	9.65762e-07	2.38642e-06	21361.3
2	2.38642e-06	4.47623e-06	21339.9
3	4.47623e-06	7.5504e-06	8495.19
4	7.5504e-06	1.20726e-05	8962.71
5	1.20726e-05	1.87247e-05	6802.48
6	1.87247e-05	2.85102e-05	4929.15
7	2.85102e-05	4.29049e-05	4084.5
8	4.29049e-05	6.40798e-05	3601.21
9	6.40798e-05	9.52284e-05	3097.28
10	9.52284e-05	0.000141049	2786.6
11	0.000141049	0.000208451	2680.34
12	0.000208451	0.000307602	2621.02
13	0.000307602	0.000453455	2464.15
14	0.000453455	0.000668007	2168.9
15	0.000668007	0.000983618	1798.17
16	0.000983618	0.00144789	1542.9
17	0.00144789	0.00213084	1687.85
18	0.00213084	0.00313547	121.768
19	0.00313547	inf	121.768
