time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.10575e-07	1270.95
1	7.10575e-07	1.75584e-06	1270.95
2	1.75584e-06	3.29346e-06	58905.3
3	3.29346e-06	5.55532e-06	21876.1
4	5.55532e-06	8.88257e-06	17414.9
5	8.88257e-06	1.3777e-05	14247.9
6	1.3777e-05	2.09768e-05	8673.41
7	2.09768e-05	3.15679e-05	5408.66
8	3.15679e-05	4.71477e-05	4436.24
9	4.71477e-05	7.00658e-05	4439.99
10	7.00658e-05	0.000103779	4429.94
11	0.000103779	0.000153371	4092.97
12	0.000153371	0.000226323	3614.89
13	0.000226323	0.000333636	3200.96
14	0.000333636	0.000491496	2793.5
15	0.000491496	0.000723712	2268.86
16	0.000723712	0.00106531	1767.96
17	0.00106531	0.0015678	1366.79
18	0.0015678	0.00230697	147.999
19	0.00230697	inf	147.999
