time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.878e-05	7863.53
1	1.878e-05	4.29148e-05	7863.53
2	4.29148e-05	7.39313e-05	146.047
3	7.39313e-05	0.000113792	1301.87
4	0.000113792	0.000165018	2277.74
5	0.000165018	0.00023085	1454.24
6	0.00023085	0.000315454	808.089
7	0.000315454	0.000424181	676.482
8	0.000424181	0.000563909	838.788
9	0.000563909	0.00074348	952.37
10	0.00074348	0.000974252	969.233
11	0.000974252	0.00127083	1046.14
12	0.00127083	0.00165196	840.854
13	0.00165196	0.00214178	400.027
14	0.00214178	0.00277125	155.822
15	0.00277125	0.00358021	82.7147
16	0.00358021	0.00461984	98.4277
17	0.00461984	0.0059559	2729.39
18	0.0059559	0.00767292	4.94911
19	0.00767292	inf	4.94911
