time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.3776e-06	4961.61
1	1.3776e-06	3.40407e-06	4961.61
2	3.40407e-06	6.38506e-06	9124.18
3	6.38506e-06	1.07702e-05	362.099
4	1.07702e-05	1.72207e-05	2010.51
5	1.72207e-05	2.67096e-05	1820.63
6	2.67096e-05	4.0668e-05	1010.08
7	4.0668e-05	6.12011e-05	858.935
8	6.12011e-05	9.14057e-05	1158.09
9	9.14057e-05	0.000135837	1579.77
10	0.000135837	0.000201197	1988.38
11	0.000201197	0.000297343	2438.28
12	0.000297343	0.000438775	2881.49
13	0.000438775	0.000646824	2917.66
14	0.000646824	0.000952869	2423.61
15	0.000952869	0.00140307	1782.72
16	0.00140307	0.00206532	1233.94
17	0.00206532	0.00303951	890.48
18	0.00303951	0.00447255	920.19
19	0.00447255	inf	920.19
