time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.63735e-06	304.349
1	2.63735e-06	6.51694e-06	304.349
2	6.51694e-06	1.22239e-05	167.18
3	1.22239e-05	2.0619e-05	1844.81
4	2.0619e-05	3.29683e-05	2032.36
5	3.29683e-05	5.11344e-05	789.708
6	5.11344e-05	7.7857e-05	456.022
7	7.7857e-05	0.000117167	422.341
8	0.000117167	0.000174992	565.295
9	0.000174992	0.000260054	832.826
10	0.000260054	0.000385182	1096.81
11	0.000385182	0.000569248	1275.45
12	0.000569248	0.000840014	1365.28
13	0.000840014	0.00123831	1369.8
14	0.00123831	0.00182422	1301.68
15	0.00182422	0.00268611	1260.73
16	0.00268611	0.00395396	1325.45
17	0.00395396	0.00581899	1440.51
18	0.00581899	0.00856249	261681
19	0.00856249	inf	261681
