time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.9011e-06	0.804936
1	3.9011e-06	9.6397e-06	0.804936
2	9.6397e-06	1.80813e-05	2411.56
3	1.80813e-05	3.04991e-05	343.604
4	3.04991e-05	4.87659e-05	724.081
5	4.87659e-05	7.56367e-05	1097.36
6	7.56367e-05	0.000115164	372.735
7	0.000115164	0.00017331	393.472
8	0.00017331	0.000258844	583.295
9	0.000258844	0.000384666	718.283
10	0.000384666	0.000569752	803.739
11	0.000569752	0.000842019	863.821
12	0.000842019	0.00124253	822.138
13	0.00124253	0.00183169	750.927
14	0.00183169	0.00269835	753.957
15	0.00269835	0.00397323	832.202
16	0.00397323	0.0058486	877.325
17	0.0058486	0.00860731	743.011
18	0.00860731	0.0126654	574.623
19	0.0126654	inf	574.623
