time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.91202e-06	1.07834
1	2.91202e-06	7.19567e-06	1.07834
2	7.19567e-06	1.3497e-05	1.07834
3	1.3497e-05	2.27664e-05	1655.4
4	2.27664e-05	3.64018e-05	167.349
5	3.64018e-05	5.64599e-05	559.925
6	5.64599e-05	8.59657e-05	457.913
7	8.59657e-05	0.000129369	550.859
8	0.000129369	0.000193217	417.083
9	0.000193217	0.000287138	336.048
10	0.000287138	0.000425298	442.613
11	0.000425298	0.000628534	756.384
12	0.000628534	0.000927499	1246.84
13	0.000927499	0.00136728	1782.57
14	0.00136728	0.00201421	1965.2
15	0.00201421	0.00296586	1844.69
16	0.00296586	0.00436575	1607.46
17	0.00436575	0.00642503	1451.04
18	0.00642503	0.00945426	2539.91
19	0.00945426	inf	2539.91
