time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.17114e-06	1022.88
1	2.17114e-06	5.36492e-06	1022.88
2	5.36492e-06	1.0063e-05	1945.18
3	1.0063e-05	1.69741e-05	2010.96
4	1.69741e-05	2.71404e-05	2031.64
5	2.71404e-05	4.20952e-05	1383.09
6	4.20952e-05	6.4094e-05	1268.21
7	6.4094e-05	9.64547e-05	1440.67
8	9.64547e-05	0.000144058	1532.65
9	0.000144058	0.000214083	1548.92
10	0.000214083	0.000317092	1583.33
11	0.000317092	0.000468621	1630.53
12	0.000468621	0.000691522	1583.33
13	0.000691522	0.00101941	1433.33
14	0.00101941	0.00150175	1176.14
15	0.00150175	0.00221128	935.997
16	0.00221128	0.003255	803.232
17	0.003255	0.00479035	723.738
18	0.00479035	0.00704887	838.23
19	0.00704887	inf	838.23
