time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.85121e-06	1.69626
1	1.85121e-06	4.57439e-06	1.69626
2	4.57439e-06	8.58023e-06	8191.63
3	8.58023e-06	1.44729e-05	3369.06
4	1.44729e-05	2.31412e-05	3080.02
5	2.31412e-05	3.58924e-05	2826.56
6	3.58924e-05	5.46496e-05	2598.74
7	5.46496e-05	8.22419e-05	2222.17
8	8.22419e-05	0.000122831	2145.13
9	0.000122831	0.000182538	2240.51
10	0.000182538	0.000270368	2278.33
11	0.000270368	0.000399568	2092.16
12	0.000399568	0.000589624	1672.61
13	0.000589624	0.000869201	1210.67
14	0.000869201	0.00128046	907.216
15	0.00128046	0.00188544	796.325
16	0.00188544	0.00277537	804.835
17	0.00277537	0.00408448	951.518
18	0.00408448	0.00601021	144.909
19	0.00601021	inf	144.909
