time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.84573e-06	1041.44
1	4.84573e-06	1.19739e-05	1041.44
2	1.19739e-05	2.24596e-05	323.055
3	2.24596e-05	3.78843e-05	331.06
4	3.78843e-05	6.05743e-05	533.104
5	6.05743e-05	9.39517e-05	511.659
6	9.39517e-05	0.000143051	504.956
7	0.000143051	0.000215276	509.888
8	0.000215276	0.000321522	487.224
9	0.000321522	0.000477811	523.075
10	0.000477811	0.000707715	503.924
11	0.000707715	0.00104591	457.797
12	0.00104591	0.0015434	485.329
13	0.0015434	0.00227522	685.649
14	0.00227522	0.00335174	1107.52
15	0.00335174	0.00493532	1254.4
16	0.00493532	0.00726481	1161.83
17	0.00726481	0.0106915	1029.85
18	0.0106915	0.0157323	857.292
19	0.0157323	inf	857.292
