time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.64411e-06	1.90994
1	1.64411e-06	4.06262e-06	1.90994
2	4.06262e-06	7.62031e-06	4380.5
3	7.62031e-06	1.28537e-05	1993.53
4	1.28537e-05	2.05522e-05	1734.96
5	2.05522e-05	3.18768e-05	2632.86
6	3.18768e-05	4.85356e-05	2855.67
7	4.85356e-05	7.3041e-05	2996.32
8	7.3041e-05	0.000109089	3216.4
9	0.000109089	0.000162116	3314.99
10	0.000162116	0.00024012	3057.91
11	0.00024012	0.000354866	2499.56
12	0.000354866	0.000523659	1891.75
13	0.000523659	0.000771958	1337.98
14	0.000771958	0.00113721	902.959
15	0.00113721	0.0016745	676.413
16	0.0016745	0.00246487	685.098
17	0.00246487	0.00362752	889.076
18	0.00362752	0.00533781	1253.26
19	0.00533781	inf	1253.26
