time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.21631e-06	2.58169
1	1.21631e-06	3.00553e-06	2.58169
2	3.00553e-06	5.63751e-06	2.58169
3	5.63751e-06	9.5092e-06	2674.81
4	9.5092e-06	1.52045e-05	3063.56
5	1.52045e-05	2.35825e-05	2415.58
6	2.35825e-05	3.59067e-05	2651.94
7	3.59067e-05	5.40358e-05	3040.44
8	5.40358e-05	8.07041e-05	3506.44
9	8.07041e-05	0.000119934	3844.66
10	0.000119934	0.000177641	3774.67
11	0.000177641	0.00026253	3438.07
12	0.00026253	0.000387404	3032.63
13	0.000387404	0.000571095	2456.64
14	0.000571095	0.000841309	1691.29
15	0.000841309	0.0012388	1041.5
16	0.0012388	0.00182352	680.271
17	0.00182352	0.00268365	606.318
18	0.00268365	0.00394891	914.542
19	0.00394891	inf	914.542
