time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.77063e-06	378.797
1	4.77063e-06	1.17883e-05	378.797
2	1.17883e-05	2.21115e-05	1067.1
3	2.21115e-05	3.72971e-05	347.551
4	3.72971e-05	5.96354e-05	135.544
5	5.96354e-05	9.24956e-05	535.174
6	9.24956e-05	0.000140834	623.575
7	0.000140834	0.00021194	497.977
8	0.00021194	0.000316538	507.111
9	0.000316538	0.000470405	536.959
10	0.000470405	0.000696746	505.888
11	0.000696746	0.0010297	474.815
12	0.0010297	0.00151948	523.488
13	0.00151948	0.00223996	719.843
14	0.00223996	0.00329979	1021.21
15	0.00329979	0.00485883	1127.78
16	0.00485883	0.00715221	1026.25
17	0.00715221	0.0105258	771.14
18	0.0105258	0.0154885	457.348
19	0.0154885	inf	457.348
