time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.59167e-06	1.21163
1	2.59167e-06	6.40407e-06	1.21163
2	6.40407e-06	1.20122e-05	1.26286
3	1.20122e-05	2.02619e-05	3328.59
4	2.02619e-05	3.23973e-05	1284.25
5	3.23973e-05	5.02487e-05	771.291
6	5.02487e-05	7.65086e-05	827.715
7	7.65086e-05	0.000115137	1028.27
8	0.000115137	0.000171961	1194.41
9	0.000171961	0.00025555	1347.04
10	0.00025555	0.000378511	1393.78
11	0.000378511	0.000559389	1344.98
12	0.000559389	0.000825465	1268.3
13	0.000825465	0.00121687	1139.24
14	0.00121687	0.00179263	952.976
15	0.00179263	0.00263959	816.357
16	0.00263959	0.00388548	807.08
17	0.00388548	0.00571821	827.797
18	0.00571821	0.0084142	748.337
19	0.0084142	inf	748.337
