time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.11218e-06	5492.37
1	2.11218e-06	5.21923e-06	5492.37
2	5.21923e-06	9.78977e-06	4949.55
3	9.78977e-06	1.65131e-05	2143.59
4	1.65131e-05	2.64033e-05	2435.7
5	2.64033e-05	4.0952e-05	1682.88
6	4.0952e-05	6.23535e-05	1116.87
7	6.23535e-05	9.38354e-05	1184.21
8	9.38354e-05	0.000140146	1603.49
9	0.000140146	0.00020827	1945.72
10	0.00020827	0.000308481	2025.51
11	0.000308481	0.000455895	1868.09
12	0.000455895	0.000672743	1484.35
13	0.000672743	0.000991731	1016.59
14	0.000991731	0.00146097	693.612
15	0.00146097	0.00215123	585.731
16	0.00215123	0.00316661	661.988
17	0.00316661	0.00466026	2334.93
18	0.00466026	0.00685746	2.41114
19	0.00685746	inf	2.41114
