time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.50717e-06	2.99916
1	9.50717e-06	2.17252e-05	2.99916
2	2.17252e-05	3.7427e-05	4831.23
3	3.7427e-05	5.76059e-05	4678.04
4	5.76059e-05	8.35385e-05	5023.91
5	8.35385e-05	0.000116865	4939.3
6	0.000116865	0.000159695	4546.57
7	0.000159695	0.000214737	3807.66
8	0.000214737	0.000285473	3005.77
9	0.000285473	0.000376379	2311.79
10	0.000376379	0.000493205	1711.79
11	0.000493205	0.000643342	1231.28
12	0.000643342	0.000836289	939.096
13	0.000836289	0.00108425	814.715
14	0.00108425	0.00140292	797.542
15	0.00140292	0.00181245	838.621
16	0.00181245	0.00233875	996.163
17	0.00233875	0.00301511	2339.2
18	0.00301511	0.00388433	16.677
19	0.00388433	inf	16.677
