time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.11043e-07	2993.8
1	8.11043e-07	2.0041e-06	2993.8
2	2.0041e-06	3.75912e-06	28589.2
3	3.75912e-06	6.34078e-06	10318.8
4	6.34078e-06	1.01385e-05	10869.7
5	1.01385e-05	1.57249e-05	6042.39
6	1.57249e-05	2.39428e-05	2135.36
7	2.39428e-05	3.60313e-05	2064.05
8	3.60313e-05	5.38139e-05	3406.32
9	5.38139e-05	7.99724e-05	5195.77
10	7.99724e-05	0.000118452	6459.46
11	0.000118452	0.000175056	6610.59
12	0.000175056	0.000258323	5469.97
13	0.000258323	0.000380809	3618.32
14	0.000380809	0.000560989	2092.47
15	0.000560989	0.000826037	1201.4
16	0.000826037	0.00121593	690.438
17	0.00121593	0.00178947	492.199
18	0.00178947	0.00263316	901.863
19	0.00263316	inf	901.863
