time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.82869e-06	8291.78
1	4.82869e-06	1.10342e-05	8291.78
2	1.10342e-05	1.90091e-05	28229.6
3	1.90091e-05	2.9258e-05	7485.47
4	2.9258e-05	4.24292e-05	5120.67
5	4.24292e-05	5.93559e-05	5279.48
6	5.93559e-05	8.1109e-05	6116.57
7	8.1109e-05	0.000109065	6950.08
8	0.000109065	0.000144992	7542.38
9	0.000144992	0.000191163	7547.94
10	0.000191163	0.000250498	6578.71
11	0.000250498	0.000326753	4427.21
12	0.000326753	0.000424751	1880.07
13	0.000424751	0.000550691	559.297
14	0.000550691	0.000712541	186.881
15	0.000712541	0.00092054	102.694
16	0.00092054	0.00118785	113.952
17	0.00118785	0.00153137	7411.64
18	0.00153137	0.00197285	5.90503
19	0.00197285	inf	5.90503
