time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.09609e-07	3.45219
1	9.09609e-07	2.24766e-06	3.45219
2	2.24766e-06	4.21597e-06	41663.8
3	4.21597e-06	7.11138e-06	11275.4
4	7.11138e-06	1.13706e-05	7085.78
5	1.13706e-05	1.7636e-05	3128.81
6	1.7636e-05	2.68525e-05	1905.39
7	2.68525e-05	4.04102e-05	2822.53
8	4.04102e-05	6.03539e-05	4735.78
9	6.03539e-05	8.96914e-05	6652.52
10	8.96914e-05	0.000132848	7020.33
11	0.000132848	0.000196331	5379.73
12	0.000196331	0.000289717	3493.74
13	0.000289717	0.000427089	2235.25
14	0.000427089	0.000629166	1513.14
15	0.000629166	0.000926426	1184.98
16	0.000926426	0.0013637	1133.26
17	0.0013637	0.00200694	1829.87
18	0.00200694	0.00295316	110.92
19	0.00295316	inf	110.92
