time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.96567e-06	6840.05
1	1.96567e-06	4.85722e-06	6840.05
2	4.85722e-06	9.11075e-06	8422.86
3	9.11075e-06	1.53678e-05	3678.42
4	1.53678e-05	2.4572e-05	3284.41
5	2.4572e-05	3.81116e-05	3295.02
6	3.81116e-05	5.80286e-05	2831.58
7	5.80286e-05	8.73269e-05	2276.4
8	8.73269e-05	0.000130425	2109.88
9	0.000130425	0.000193824	2073.48
10	0.000193824	0.000287085	1997
11	0.000287085	0.000424274	1831.58
12	0.000424274	0.000626081	1589.95
13	0.000626081	0.000922943	1281.81
14	0.000922943	0.00135963	920.87
15	0.00135963	0.00200202	619.397
16	0.00200202	0.00294697	465.498
17	0.00294697	0.00433702	475.652
18	0.00433702	0.00638182	323.447
19	0.00638182	inf	323.447
