time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.43389e-06	1.29017
1	2.43389e-06	6.0142e-06	1.29017
2	6.0142e-06	1.12809e-05	283.411
3	1.12809e-05	1.90283e-05	1564.53
4	1.90283e-05	3.0425e-05	1354.19
5	3.0425e-05	4.71897e-05	333.492
6	4.71897e-05	7.18509e-05	353.649
7	7.18509e-05	0.000108128	628.508
8	0.000108128	0.000161492	806.888
9	0.000161492	0.000239993	1032.09
10	0.000239993	0.000355468	1239.03
11	0.000355468	0.000525335	1385.8
12	0.000525335	0.000775212	1463.52
13	0.000775212	0.00114279	1447.7
14	0.00114279	0.0016835	1343.28
15	0.0016835	0.00247889	1262.47
16	0.00247889	0.00364894	1356.62
17	0.00364894	0.00537009	1504.66
18	0.00537009	0.00790195	283734
19	0.00790195	inf	283734
