time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.04626e-06	1534.2
1	1.04626e-06	2.58533e-06	1534.2
2	2.58533e-06	4.84933e-06	48594.3
3	4.84933e-06	8.17972e-06	18247.6
4	8.17972e-06	1.30788e-05	14582.4
5	1.30788e-05	2.02854e-05	13612.5
6	2.02854e-05	3.08865e-05	12347.1
7	3.08865e-05	4.6481e-05	9914.64
8	4.6481e-05	6.94208e-05	7281.86
9	6.94208e-05	0.000103166	5432.83
10	0.000103166	0.000152805	4138.08
11	0.000152805	0.000225826	2996.44
12	0.000225826	0.00033324	1880.45
13	0.00033324	0.00049125	1039.08
14	0.00049125	0.000723685	607.969
15	0.000723685	0.0010656	479.627
16	0.0010656	0.00156857	543.616
17	0.00156857	0.00230844	3175.2
18	0.00230844	0.00339681	32.9638
19	0.00339681	inf	32.9638
