time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.02701e-06	0.624661
1	5.02701e-06	1.24218e-05	0.624661
2	1.24218e-05	2.32998e-05	2092.01
3	2.32998e-05	3.93015e-05	506.231
4	3.93015e-05	6.28403e-05	730.042
5	6.28403e-05	9.74663e-05	530.888
6	9.74663e-05	0.000148402	678.89
7	0.000148402	0.000223329	893.542
8	0.000223329	0.000333549	948.171
9	0.000333549	0.000495685	806.253
10	0.000495685	0.00073419	693.266
11	0.00073419	0.00108504	610.101
12	0.00108504	0.00160114	475.33
13	0.00160114	0.00236033	372.857
14	0.00236033	0.00347712	359.835
15	0.00347712	0.00511995	518.46
16	0.00511995	0.00753657	764.815
17	0.00753657	0.0110915	735.062
18	0.0110915	0.0163208	243.728
19	0.0163208	inf	243.728
