time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.06681e-06	5595.45
1	2.06681e-06	5.10712e-06	5595.45
2	5.10712e-06	9.57949e-06	8707.34
3	9.57949e-06	1.61584e-05	4898.85
4	1.61584e-05	2.58362e-05	3601.05
5	2.58362e-05	4.00724e-05	2655.48
6	4.00724e-05	6.10141e-05	2683.86
7	6.10141e-05	9.18198e-05	2596.38
8	9.18198e-05	0.000137136	2289.82
9	0.000137136	0.000203796	1982.06
10	0.000203796	0.000301855	1752.96
11	0.000301855	0.000446102	1579.53
12	0.000446102	0.000658292	1371
13	0.000658292	0.000970428	1105.23
14	0.000970428	0.00142959	857.296
15	0.00142959	0.00210502	694.946
16	0.00210502	0.00309859	617.05
17	0.00309859	0.00456016	562.266
18	0.00456016	0.00671016	360.339
19	0.00671016	inf	360.339
