time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.58193e-06	1.2162
1	2.58193e-06	6.38e-06	1.2162
2	6.38e-06	1.1967e-05	1706.28
3	1.1967e-05	2.01857e-05	711.167
4	2.01857e-05	3.22755e-05	656.671
5	3.22755e-05	5.00599e-05	919.671
6	5.00599e-05	7.6221e-05	839.483
7	7.6221e-05	0.000114705	1277.81
8	0.000114705	0.000171315	1279.01
9	0.000171315	0.00025459	1200.2
10	0.00025459	0.000377088	1388.15
11	0.000377088	0.000557287	1301.03
12	0.000557287	0.000822362	1061.08
13	0.000822362	0.00121229	1300.23
14	0.00121229	0.00178589	1283.17
15	0.00178589	0.00262967	655.465
16	0.00262967	0.00387087	456.634
17	0.00387087	0.00569672	1802.22
18	0.00569672	0.00838257	67.2681
19	0.00838257	inf	67.2681
