time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.18139e-07	6.06133
1	5.18139e-07	1.28033e-06	6.06133
2	1.28033e-06	2.40153e-06	107609
3	2.40153e-06	4.05084e-06	34751
4	4.05084e-06	6.47701e-06	24406.5
5	6.47701e-06	1.0046e-05	21163.1
6	1.0046e-05	1.52959e-05	19313.9
7	1.52959e-05	2.30188e-05	15803.2
8	2.30188e-05	3.43793e-05	11765.9
9	3.43793e-05	5.10907e-05	8545.7
10	5.10907e-05	7.56737e-05	6464.13
11	7.56737e-05	0.000111836	5180.23
12	0.000111836	0.000165031	4201.92
13	0.000165031	0.000243282	3263.16
14	0.000243282	0.000358391	2422.75
15	0.000358391	0.000527718	1845.32
16	0.000527718	0.000776802	1573.81
17	0.000776802	0.00114321	5491.66
18	0.00114321	0.0016822	21.0832
19	0.0016822	inf	21.0832
