time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.10568e-06	2.84001
1	1.10568e-06	2.73215e-06	2.84001
2	2.73215e-06	5.12474e-06	10638.4
3	5.12474e-06	8.64427e-06	11701.7
4	8.64427e-06	1.38216e-05	5787.1
5	1.38216e-05	2.14375e-05	5337.24
6	2.14375e-05	3.26407e-05	6331.72
7	3.26407e-05	4.91208e-05	6646.41
8	4.91208e-05	7.33634e-05	6165.11
9	7.33634e-05	0.000109025	5096.86
10	0.000109025	0.000161483	4033.4
11	0.000161483	0.000238651	3292.77
12	0.000238651	0.000352166	2696.76
13	0.000352166	0.00051915	2131.34
14	0.00051915	0.000764785	1577.54
15	0.000764785	0.00112612	1073.42
16	0.00112612	0.00165765	701.376
17	0.00165765	0.00243955	492.852
18	0.00243955	0.00358973	483.639
19	0.00358973	inf	483.639
