time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.90429e-06	2425.54
1	1.90429e-06	4.70553e-06	2425.54
2	4.70553e-06	8.82622e-06	2845.24
3	8.82622e-06	1.48878e-05	3394.65
4	1.48878e-05	2.38046e-05	1913.87
5	2.38046e-05	3.69214e-05	1054.66
6	3.69214e-05	5.62164e-05	1229.02
7	5.62164e-05	8.45997e-05	1591.03
8	8.45997e-05	0.000126352	2013.62
9	0.000126352	0.000187771	2345.13
10	0.000187771	0.000278119	2538.86
11	0.000278119	0.000411024	2454.61
12	0.000411024	0.000606529	1994.42
13	0.000606529	0.00089412	1355.21
14	0.00089412	0.00131717	827.274
15	0.00131717	0.00193949	529.357
16	0.00193949	0.00285494	477.765
17	0.00285494	0.00420158	1701.49
18	0.00420158	0.00618252	31.1901
19	0.00618252	inf	31.1901
