time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.8007e-05	1936.22
1	2.8007e-05	6.39997e-05	1936.22
2	6.39997e-05	0.000110255	385.584
3	0.000110255	0.0001697	925.567
4	0.0001697	0.000246094	1116.56
5	0.000246094	0.000344271	1165.52
6	0.000344271	0.000470442	1311.38
7	0.000470442	0.000632589	1459.51
8	0.000632589	0.000840969	1352.43
9	0.000840969	0.00110877	1008.46
10	0.00110877	0.00145292	734.384
11	0.00145292	0.00189521	606.357
12	0.00189521	0.0024636	462.24
13	0.0024636	0.00319407	329.157
14	0.00319407	0.00413282	270.947
15	0.00413282	0.00533924	306.089
16	0.00533924	0.00688966	446.345
17	0.00688966	0.00888215	761.858
18	0.00888215	0.0114428	44.6227
19	0.0114428	inf	44.6227
