time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.32982e-06	4744.88
1	1.32982e-06	3.28601e-06	4744.88
2	3.28601e-06	6.1636e-06	2959.58
3	6.1636e-06	1.03966e-05	3457.35
4	1.03966e-05	1.66234e-05	4084.51
5	1.66234e-05	2.57832e-05	4297.69
6	2.57832e-05	3.92575e-05	4043.81
7	3.92575e-05	5.90784e-05	4161.34
8	5.90784e-05	8.82354e-05	4444.87
9	8.82354e-05	0.000131126	4498.1
10	0.000131126	0.000194219	4143.45
11	0.000194219	0.000287029	3467.15
12	0.000287029	0.000423556	2491.06
13	0.000423556	0.00062439	1497.21
14	0.00062439	0.00091982	821.25
15	0.00091982	0.0013544	510.419
16	0.0013544	0.00199369	449.613
17	0.00199369	0.00293408	2296.79
18	0.00293408	0.00431743	36.9219
19	0.00431743	inf	36.9219
